	Product	Price
0	product0	price4
1	product1	price6
2	product2	price5
3	product3	price2
4	product4	price1
5	product5	price0
6	product6	price3
7	product7	price4
8	product0	price3
9	product1	price4
10	product2	price6
11	product3	price5
12	product4	price2
13	product5	price1
14	product6	price0
15	product7	price3
16	product0	price0
17	product1	price3
18	product2	price4
19	product3	price6
20	product4	price5
21	product5	price2
22	product6	price1
23	product7	price0
24	product0	price1
25	product1	price0
26	product2	price3
27	product3	price4
28	product4	price6
29	product5	price5
30	product6	price2
31	product7	price1
32	product0	price2
33	product1	price1
34	product2	price0
35	product3	price3
36	product4	price4
37	product5	price6
38	product6	price5
39	product7	price2
40	product0	price5
41	product1	price2
42	product2	price1
43	product3	price0
44	product4	price3
45	product5	price4
46	product6	price6
47	product7	price5
48	product0	price6
49	product1	price5
50	product2	price2
51	product3	price1
52	product4	price0
53	product5	price3
54	product6	price4
55	product7	price6
