	Product	Price
0	product0	price5
1	product1	price2
2	product2	price1
3	product3	price0
4	product4	price6
5	product5	price4
6	product6	price3
7	product7	price5
8	product0	price3
9	product1	price5
10	product2	price2
11	product3	price1
12	product4	price0
13	product5	price6
14	product6	price4
15	product7	price3
16	product0	price4
17	product1	price3
18	product2	price5
19	product3	price2
20	product4	price1
21	product5	price0
22	product6	price6
23	product7	price4
24	product0	price6
25	product1	price4
26	product2	price3
27	product3	price5
28	product4	price2
29	product5	price1
30	product6	price0
31	product7	price6
32	product0	price0
33	product1	price6
34	product2	price4
35	product3	price3
36	product4	price5
37	product5	price2
38	product6	price1
39	product7	price0
40	product0	price1
41	product1	price0
42	product2	price6
43	product3	price4
44	product4	price3
45	product5	price5
46	product6	price2
47	product7	price1
48	product0	price2
49	product1	price1
50	product2	price0
51	product3	price6
52	product4	price4
53	product5	price3
54	product6	price5
55	product7	price2
