	Product	Price
0	product0	price6
1	product1	price2
2	product2	price3
3	product3	price4
4	product4	price0
5	product5	price5
6	product6	price1
7	product7	price6
8	product0	price1
9	product1	price6
10	product2	price2
11	product3	price3
12	product4	price4
13	product5	price0
14	product6	price5
15	product7	price1
16	product0	price5
17	product1	price1
18	product2	price6
19	product3	price2
20	product4	price3
21	product5	price4
22	product6	price0
23	product7	price5
24	product0	price0
25	product1	price5
26	product2	price1
27	product3	price6
28	product4	price2
29	product5	price3
30	product6	price4
31	product7	price0
32	product0	price4
33	product1	price0
34	product2	price5
35	product3	price1
36	product4	price6
37	product5	price2
38	product6	price3
39	product7	price4
40	product0	price3
41	product1	price4
42	product2	price0
43	product3	price5
44	product4	price1
45	product5	price6
46	product6	price2
47	product7	price3
48	product0	price2
49	product1	price3
50	product2	price4
51	product3	price0
52	product4	price5
53	product5	price1
54	product6	price6
55	product7	price2
