	Product	Price
0	product0	price3
1	product1	price4
2	product2	price6
3	product3	price1
4	product4	price5
5	product5	price2
6	product6	price0
7	product7	price3
8	product0	price0
9	product1	price3
10	product2	price4
11	product3	price6
12	product4	price1
13	product5	price5
14	product6	price2
15	product7	price0
16	product0	price2
17	product1	price0
18	product2	price3
19	product3	price4
20	product4	price6
21	product5	price1
22	product6	price5
23	product7	price2
24	product0	price5
25	product1	price2
26	product2	price0
27	product3	price3
28	product4	price4
29	product5	price6
30	product6	price1
31	product7	price5
32	product0	price1
33	product1	price5
34	product2	price2
35	product3	price0
36	product4	price3
37	product5	price4
38	product6	price6
39	product7	price1
40	product0	price6
41	product1	price1
42	product2	price5
43	product3	price2
44	product4	price0
45	product5	price3
46	product6	price4
47	product7	price6
48	product0	price4
49	product1	price6
50	product2	price1
51	product3	price5
52	product4	price2
53	product5	price0
54	product6	price3
55	product7	price4
