	Product	Price
0	product0	price5
1	product1	price1
2	product2	price3
3	product3	price4
4	product4	price2
5	product5	price0
6	product6	price6
7	product7	price5
8	product0	price6
9	product1	price5
10	product2	price1
11	product3	price3
12	product4	price4
13	product5	price2
14	product6	price0
15	product7	price6
16	product0	price0
17	product1	price6
18	product2	price5
19	product3	price1
20	product4	price3
21	product5	price4
22	product6	price2
23	product7	price0
24	product0	price2
25	product1	price0
26	product2	price6
27	product3	price5
28	product4	price1
29	product5	price3
30	product6	price4
31	product7	price2
32	product0	price4
33	product1	price2
34	product2	price0
35	product3	price6
36	product4	price5
37	product5	price1
38	product6	price3
39	product7	price4
40	product0	price3
41	product1	price4
42	product2	price2
43	product3	price0
44	product4	price6
45	product5	price5
46	product6	price1
47	product7	price3
48	product0	price1
49	product1	price3
50	product2	price4
51	product3	price2
52	product4	price0
53	product5	price6
54	product6	price5
55	product7	price1
